Station,lon,lat
Parque Santa Barbara Central,-74.036429,4.700597
Unicentro 1,-74.04,4.702
Parque nueva Santa Barbara,-74.041,4.699
Colonia 72,-74.068,4.663
Parque Santa Barbara 1,-74.041,4.698
Calle 120 - Carrera 11D,-74.038118,4.699656
Carrera 13 - Calle 116,-74.04,4.696
Carrera 15 - Calle 116,-74.043,4.697
Unicentro 2,-74.043,4.704
KR 15 con CL 121,-74.043,4.7
Calle 122 - Carrera 17,-74.045,4.701
CL 124 con KR 16,-74.045,4.702
CL 122 con KR 18C,-74.048,4.702
KR 19 con CL 123,-74.049,4.704
KR 20 con AC 127,-74.051,4.706
KR 19 con CL 118,-74.04969,4.699377
AV. NQS con CL 68 (antes id 302),-74.075751,4.663171
AC 26 con KR 23,-74.076607,4.621355
Calle 122 - carrera 17 A,-74.047,4.701
KR 17A con CL 127,-74.046,4.704
Carrera 17A-Calle 116,-74.047,4.698
AK 19 con CL 109A,-74.050301,4.69588
AC 116 con AK 19,-74.049705,4.698725
Fundación Universitaria San Martín,-74.058874,4.667302
KR 15 con CL 97,-74.049,4.682
Estadio El Campín 1,-74.078,4.647
Estadio El Campín 2,-74.078,4.645
Transversal 28,-74.076,4.645
Movistar Arena,-74.078,4.651
Transversal 27,-74.075,4.644
Carrera 28A,-74.078124,4.642688
Diagonal 59 - Transversal 24,-74.072,4.646
TR 24 con DG 53C,-74.073,4.644
Parque El Salvador,-74.070359,4.642546
CL 48 con KR 13,-74.065758,4.635227
KR 16 con CL 57,-74.067,4.645
Cl 43 con KR 19,-74.07238,4.631712
Carulla Calle 57,-74.072,4.645
Parque San Luis,-74.069611,4.648215
KR 23 CON CALLE 114A,-74.053935,4.698497
CL 63 con KR 16,-74.066572,4.650062
Dg 61B Tv 24,-74.073,4.648
Parque Chicó Norte,-74.044362,4.67491
CL 106 con KR 21,-74.053504,4.693165
U. de América,-74.051212,4.692878
KR 19A con CL 106A,-74.052,4.693
Parque Calle 106 - 1,-74.047992,4.691367
Parque Calle 106 - 2,-74.046455,4.690668
KR 15 con CL 109,-74.044967,4.692408
CL 109 con KR 16,-74.0465,4.6934
PARQUE LOS MOLINOS,-74.048,4.696
Parque Navarra,-74.049738,4.690316
KR 15 con CL 103,-74.047448,4.688112
KR 16 con CL 100,-74.049,4.686
KR 27A CON CL 68,-74.071869,4.660405
KR 19A con CL 100,-74.053,4.687
KR 27A CON CL 66,-74.072539,4.659458
KR 23 con CL 104A,-74.055,4.691
KR 18A con CL 102,-74.050715,4.68782
KR 15 con CL 94,-74.050414,4.679583
"CL 93B con KR 15 (Antiguo 27,2)",-74.05115,4.67878
CL 73 con KR 15,-74.060537,4.659971
KR 13 con CL 42,-74.066963,4.629474
AK 30 con CL 39Bis B,-74.080175,4.628308
Av. NQS con AK 24,-74.06244,4.676453
KR 20B con CL 77,-74.061264,4.665134
Est. Calle 76,-74.061572,4.662171
AK 14 con CL 39,-74.068829,4.627104
KR 7 con CL 112,-74.033855,4.690921
AK 9 con CL 108,-74.040189,4.689252
CL 119 con KR 11D,-74.037225,4.698477
Av. NQS con Américas (ALT2),-74.082197,4.624784
CL 127 con KR 21 (ALT3),-74.05265,4.706092
CL 73 con KR 9,-74.056106,4.656938
CL 125 con KR 19A (ALT7),-74.050013,4.704796
CL 119 con KR 13 (ALT9),-74.040074,4.698744
Iglesia San Diego (ALT10),-74.069881,4.612315
U. Andes,-74.065812,4.603124
Parque de la 93,-74.048705,4.67741
CL 93B con KR 16,-74.051881,4.679035
CL 93 con KR 19,-74.054675,4.678207
Parque Juan XXIII (ALT 14),-74.063079,4.665818
DG 92 con NQS,-74.059478,4.67917
Parque Guernika,-74.070581,4.635084
Secretaria de Gobierno (ALT 15),-74.076978,4.599279
Centro Comercial Santa Ana,-74.036207,4.690523
Ministerio de Ambiente (ALT5),-74.067043,4.625015
"Parque Nacional
",-74.066275,4.623541
Universidad Católica,-74.06588,4.634175
