Station,,lat,lon
"Longford Street, The Regent's Park",,51.525595,-0.144083
"Russell Square Station, Bloomsbury",,51.523418,-0.124121
"Sadlers Sports Centre, Finsbury",,51.524868,-0.099489
"Webber Street , Southwark",,51.500693,-0.102091
"Great Titchfield Street, Fitzrovia",,51.520253,-0.141327
"Chancery Lane, Holborn",,51.514274,-0.111257
"Panton Street, West End",,51.509639,-0.13151
"Tavistock Street, Covent Garden",,51.511968,-0.120718
"Concert Hall Approach 2, South Bank",,51.504942,-0.115533
"Pembridge Villas, Notting Hill",,51.511084,-0.197524
"Wellington Street , Strand",,51.511756,-0.119643
"Risinghill Street, Angel",,51.533319,-0.111781
"Bank of England Museum, Bank",,51.514441,-0.087587
"Craven Street, Strand",,51.508103,-0.126021
"London Zoo Car Park, The Regent's Park",,51.536922,-0.150181
"Goswell Road (City Uni), Finsbury",,51.528246,-0.101026
"Flood Street, Chelsea",,51.488023,-0.166878
"Lower Marsh, Waterloo",,51.500139,-0.113936
"Grosvenor Square, Mayfair",,51.51217,-0.150481
"St. George Street, Mayfair",,51.51196,-0.142783
"Queen's Gate, Kensington Gardens",,51.501715,-0.179854
"Macclesfield Rd, St Lukes",,51.529423,-0.097122
"Vauxhall Street, Vauxhall",,51.486965,-0.116625
"Greycoat Street , Westminster",,51.494591,-0.134234
"Northumberland Avenue, Strand",,51.506767,-0.123702
"Clapham Common Station, Clapham Common",,51.461388,-0.139221
"South Kensington Station, South Kensington",,51.494412,-0.173881
"Howland Street, Fitzrovia",,51.520994,-0.139016
"High Holborn , Covent Garden",,51.516226,-0.124826
"Butler Place, Westminster",,51.497829,-0.13544
"Howick Place, Westminster",,51.496753,-0.138733
"Waterloo Station 2, Waterloo",,51.503919,-0.113426
"Royal College Street, Camden Town",,51.536264,-0.133952
"Store Street, Bloomsbury",,51.519572,-0.13214
"City Road, Angel",,51.530344,-0.100168
"Millennium Hotel, Mayfair",,51.510919,-0.151126
"Harrowby Street, Marylebone",,51.517372,-0.164207
"Harriet Street, Knightsbridge",,51.500241,-0.15934
"Paddington Green, Paddington",,51.520205,-0.174593
"King Edward Walk, Waterloo",,51.49775,-0.10988
"Sardinia Street, Holborn",,51.515208,-0.117863
"Prince Consort Road, Knightsbridge",,51.499806,-0.176415
"Waterloo Station 1, Waterloo",,51.504027,-0.113864
"Kensington Town Hall, Kensington",,51.501945,-0.194392
"Millbank Tower, Pimlico",,51.491884,-0.125674
"Waterloo Bridge, South Bank",,51.505354,-0.113656
"Natural History Museum, South Kensington",,51.495592,-0.179077
"Turquoise Island, Notting Hill",,51.514311,-0.200838
"Stanhope Gate, Mayfair",,51.506864,-0.150666
"Charlotte Street, Fitzrovia",,51.51953,-0.135777
"Farm Street, Mayfair",,51.509351,-0.147449
"Frith Street, Soho",,51.513103,-0.131213
"Marloes Road, Kensington",,51.496481,-0.192404
"Moor Street, Soho",,51.513527,-0.13011
"Fire Brigade Pier, Vauxhall",,51.493699,-0.121394
"Southampton Street, Strand",,51.510701,-0.121723
"Upper Grosvenor Street, Mayfair",,51.51013,-0.155757
"Buxton Street 1, Shoreditch",,51.521776,-0.068856
"Clifford Street, Mayfair",,51.510662,-0.142345
"Imperial College, Knightsbridge",,51.499428,-0.179702
"Snow Hill, Farringdon",,51.517334,-0.103604
"Aberdeen Place, St. John's Wood",,51.524826,-0.176268
"Cadogan Gardens, Chelsea",,51.492462,-0.159919
"Shouldham Street, Marylebone",,51.51809,-0.163609
"Devonshire Terrace, Bayswater",,51.51348,-0.17977
"Holland Park, Kensington",,51.502319,-0.200742
"Brick Lane Market, Shoreditch",,51.522617,-0.071653
"George Street, Marylebone",,51.517703,-0.154106
"Columbia Road, Shoreditch",,51.528187,-0.075375
