Station,name,lat,lon
580,Georg Morgenstiernes hus,59.939025551395765,10.723002619643406
496,Fysikkbygningen,59.937957367051965,10.719488529430388
482,Nydalen,59.952868,10.766483
407,Sagene bussholdeplass,59.937743,10.751648
409,John Colletts plass,59.940398,10.730036
451,Suhms gate,59.929419,10.726195
385,Søndre gate,59.918632,10.757867
402,Lørenveien,59.93087712510462,10.791823716034969
516,Finnmarksgata,59.922839,10.775658
429,Thune,59.92208,10.68588
380,Bentsebrugata,59.93923,10.75917
583,Galgeberg,59.90707579234818,10.779164402446728
398,Ringnes Park,59.92843404417577,10.75943014633117
381,Grønlands torg,59.91252,10.76224
464,Sukkerbiten,59.905124380703484,10.753763553726515
442,Vulkan,59.92251,10.75101
483,Hausmanns gate,59.915451,10.758328
458,Jenny Braatens Plass,59.928349,10.77837
499,Bjerregaards gate,59.925488,10.746058
472,Arendalsgata,59.9378,10.7541
506,Botanisk Hage vest,59.92012811804052,10.768875408563598
465,Bjørvika,59.909006,10.75618
611,Bankplassen,59.908454,10.741869
404,Oslo Handelsgymnasium,59.914306,10.720202
579,Bogstadveien,59.924732,10.724628
434,Lindern,59.9358883,10.7350062
462,Stensparken,59.92714,10.730981
578,Hallings gate,59.922777,10.738655
415,Sinsenveien,59.929542,10.781053
423,Schous plass,59.920335,10.760804
412,Jakob kirke,59.917866,10.754898
387,Studenterlunden,59.914586,10.735453
405,Frognerbadet,59.92808,10.708767
441,Vippetangen øst,59.903989,10.741077
443,Sjøsiden ved trappen,59.910154466964954,10.751980909227372
454,Furulund,59.9198098,10.651118
436,Vestkanttorvet,59.9244031,10.7130691
394,Bjølsen Studentby,59.943777539367225,10.760121127577955
497,Sirkustomta,59.919252,10.774712
581,Jordalgata,59.908227,10.781088
461,Vålerenga,59.908576,10.786856
599,Paléhaven,59.910331,10.75011
428,Olav Kyrres plass,59.9193337,10.6968953
400,OsloMet,59.919927,10.735428
487,Carl Berners plass nord,59.926929,10.776971
438,BI Nydalen,59.949239,10.768576
459,Valkyrieplassen,59.9281319,10.71842
433,Ila,59.931828,10.748745
399,Uelands gate,59.929545,10.7489862
489,Torggata,59.91598309274519,10.75155119076095
742,Hasle,59.924342,10.79285
551,Olaf Ryes plass,59.922425,10.758182
406,Carl Berners plass sør,59.92507,10.775996
488,Torshovparken vest,59.93507,10.76915
540,Lilleborgbanen,59.93363159074286,10.769118139881124
431,Chr. Michelsens Gate,59.927292,10.773185
393,Hans Nielsen Hauges plass,59.939244,10.774319
420,Bjølsendumpa,59.94032925181832,10.766136667493829
397,Storo Storsenter,59.94671044754387,10.773805285879131
390,Saga Kino,59.91424026794647,10.732771354719745
449,Ruseløkkgården,59.91357497092093,10.726229742333288
484,Karenslyst allé,59.92033,10.683814
479,Tjuvholmen,59.909467,10.722509
403,Parkveien,59.921768,10.730476
435,Fram-gården,59.915424,10.714577
426,Gimle Kino,59.91728078292675,10.708375798767435
450,Elisenberg,59.919524,10.70884
456,Frognerstranda,59.9103558,10.7051061
468,Skillebekk,59.912793405455375,10.710103028570302
453,Frogner Stadion,59.92753764682686,10.710262803261259
466,Ullevålsalléen,59.937913,10.73048
469,Studentparlamentet,59.920852,10.733357
416,Tannlegehøyskolen,59.932383,10.741475
391,St. Hanshaugen park vest,59.9268706,10.7384634
389,Pilestredet Studenthus,59.9205528,10.7342854
470,St. Hanshaugen park nord,59.92979845370007,10.743540765932096
384,Vår Frelsers gravlund sør,59.919463,10.743829
425,Adamstuen,59.932792,10.734457
411,Hasle Torg,59.923240042155456,10.792831438028703
598,Sofienbergparken nord,59.923229,10.766171
444,AHO,59.925265,10.750462
447,Kværnerbyen,59.904473,10.786167
408,Tøyen skole,59.914943,10.773977
737,Munkegata,59.908255,10.7678
432,St. Hanshaugen park sør,59.924821,10.739909
401,Lille Schous plass,59.920259,10.760629
452,Vippetangen vest,59.903989,10.740627
392,Sjøsiden ved fontenen,59.910180852633516,10.751698750995615
481,Rådhusgata,59.910924,10.736215
495,Vaterlandsparken,59.91351552854147,10.757334670552268
478,Jernbanetorget,59.911901,10.749929
448,Oslo Plaza,59.91218291295141,10.7544337247013
414,Kontraskjæret,59.910242,10.73857
476,Edvard Storms gate,59.919111,10.736179
445,Sjølyst,59.921673,10.67666
748,Hydroparken,59.914145,10.715505
473,Majorstuveien,59.926697,10.716195
383,Arkitekt Rivertz Plass,59.934936,10.749466
480,Helga Helgesens plass,59.9121109,10.7661939
421,Alexander Kiellands Plass,59.92806670615684,10.751202636819613
746,Bygdøy allé,59.919001,10.692321
378,Colosseum Kino,59.92984300295666,10.711284727205708
417,Uranienborgparken,59.922485,10.720896
427,Briskeby,59.920218,10.717978
418,Norsk Folkemuseum,59.907674,10.686843
413,Majorstuen,59.929045,10.716926
471,Marienlyst,59.932432498521095,10.721762294477472
597,Fredensborg,59.920995,10.750358
422,St. Hanshaugen,59.923703,10.740542
739,Hammersborg Torg,59.91652053839767,10.749202233135232
382,Stensgata,59.92958561753996,10.732839000000013
396,Kirkeristen,59.91300035973293,10.746760585982287
735,Oslo Hospital,59.90321254732584,10.7673442932541
437,Sentrum Scene,59.91546786564256,10.751140873016311
446,Bislett Stadion,59.925471317049954,10.73121932213806
424,Birkelunden,59.9256113,10.760926
455,Sofienbergparken sør,59.922337,10.7617503
457,Trondheimsveien,59.9230577,10.7717192
377,Tøyenparken,59.915667,10.7775665
738,Lodalen busstopp,59.9034528,10.777958
460,Botanisk Hage sør,59.915417698024385,10.76933022142641
744,Hallénparken,59.9315302,10.762169
485,Sommerfrydhagen,59.911453,10.776072
